en,id
i am your friend .,aku temanmu .
i have had enough .,aku sudah muak .
is tom autistic ?,apakah tom autis ?
is tom autistic ?,apakah tom autistik ?
is it important ?,itu penting ?
is this a dream ?,apa ini mimpi ?
is this a dream ?,apakah ini mimpi ?
is this correct ?,apa ini benar ?
is this correct ?,apakah ini benar ?
it is up to you .,terserah padamu .
it is not enough .,ini tidak cukup .
it is not enough .,itu tidak cukup .
it looked cheap .,kelihatannya itu murah .
it snowed today .,hari ini turun salju .
it sounds great !,kedengarannya bagus !
it was a thrill .,tadi itu seru sekali .
it was my fault .,itu salahku .
it was not funny .,ini tidak lucu .
it will not be fun .,itu tidak akan menyenangkan .
it will not happen .,itu tidak akan terjadi .
it is impossible .,itu mustahil .
it is inevitable .,itu tidak bisa dihindari .
it is just water .,itu cuma air .
it is no problem .,tidak masalah .
it is not a joke .,ini bukan lelucon .
it is not broken .,ini tidak rusak .
it is not enough .,ini tidak cukup .
it is not enough .,itu tidak cukup .
it is not my car .,ini bukan mobilku .
it is past eight .,sekarang jam delapan lebih .
it is past eight .,sekarang lewat jam delapan .
it is ridiculous .,ini konyol .
it is ridiculous .,itu konyol .
it is time to go .,sudah waktunya untuk pergi .
it is two-thirty .,sekarang jam setengah tiga .
let me check it .,biarkan aku memeriksanya .
let me see that .,biarkan aku melihatnya .
let is come back .,ayo kembali .
let is do it now .,mari kita lakukan sekarang .
let is fly kites .,ayo menerbangkan layang-layang .
let is fly kites .,ayo kita bermain layang-layang .
let is turn back .,ayo kembali .
maybe next time .,mungkin lain kali .
merry christmas !,selamat hari natal !
merry christmas !,selamat natal !
mistakes happen .,kesalahan bisa terjadi .
"mom ,  i am hungry .","mama ,  aku lapar ."
my house is big .,rumahku besar .
my shift is over .,sifku berakhir .
nature is cruel .,alam itu kejam .
never forget it .,jangan lupakan itu !
never tell lies .,jangan pernah berbohong .
now you are safe .,sekarang anda sudah aman .
open the bottle .,buka botolnya .
please fix that .,tolong betulkan itu .
please fix this .,tolong betulkan ini .
please sit down .,silakan duduk .
push the button .,tekan tombolnya .
raise your hand .,angkat tanganmu .
read this first .,baca ini dulu .
rejection hurts .,penolakan itu menyakitkan .
remind me later .,ingatkan saya nanti .
remind me later .,ingatkan aku nanti .
she has one cat .,dia punya seekor kucing .
she is a beauty .,dia seorang yang cantik .
she is stubborn .,dia keras kepala .
she looks happy .,dia terlihat bahagia .
she looks young .,dia terlihat muda .
she married him .,ia menikah dengannya .
she married him .,ia menikahinya .
she took it off .,dia menanggalkannya .
she was perfect .,dia sempurna .
she went inside .,dia masuk ke dalam .
she went inside .,dia masuk .
she is assertive .,ia tegas .
she is assertive .,dia tegas .
she is beautiful .,dia cantik .
she is my sister .,dia kakakku .
she is my sister .,dia adikku .
"sorry ,  i forgot .","maaf ,  saya melupakannya ."
thanks for this .,terima kasih untuk ini .
that dog jumped .,anjing itu lompat .
that is not fair .,itu tidak adil .
that is a secret .,itu rahasia .
that is nonsense .,itu omong kosong .
that is peculiar .,itu aneh .
the book is red .,buku itu berwarna merah .
the car is blue .,mobilnya biru .
the pay is good .,bayarannya bagus .
the pay is good .,gajinya bagus .
the room is hot .,ruangannya panas .
the sky is blue .,langit berwarna biru .
the sky is blue .,langit itu biru .
there is no salt .,tidak ada garam .
these are tom is .,ini semua milik tom .
they are actors .,mereka adalah aktor .
they both laugh .,mereka berdua tertawa .
they feared you .,mereka takut padamu .
they killed tom .,mereka membunuh tom .
they left early .,mereka pulang lebih awal .
they left early .,mereka pergi lebih awal .
they live there .,mereka tinggal di sana .
they understood .,mereka mengerti .
they are similar .,mereka mirip .
they are smiling .,mereka tersenyum .
they are thirsty .,mereka haus .
they have changed .,mereka telah berubah .
this is a dream .,ini mimpi .
this is a knife .,ini pisau .
this is a piano .,ini piano .
this is awkward .,ini aneh .
this is my bike .,ini sepedaku .
this is my life .,inilah hidupku .
this is my room .,ini adalah kamarku .
this is my wife .,ini istriku .
this is my wife .,ini istri saya .
this is natural .,ini alami .
this is no joke .,ini bukan lelucon .
this is on sale .,ini dijual .
this is strange .,ini aneh .
this is not mine .,ini bukan milikku .
this worries me .,ini mengkhawatirkan saya .
this worries me .,ini membuat saya khawatir .
today is friday .,hari ini hari jumat .
tom adores mary .,tom sangat mencintai dan menyayangi mary .
tom always wins .,tom selalu menang .
tom blacked out .,tom pingsan .
tom blamed mary .,tom menyalahkan mary .
tom blames mary .,tom menyalahkan mary .
tom burps a lot .,tom sering bersendawa .
tom called mary .,tom menelepon mary .
tom chased mary .,tom mengejar mary .
tom did not come .,tom tidak datang .
tom disappeared .,tom menghilang .
tom fooled mary .,tom menipu mary .
tom has a beard .,tom berjenggot .
tom hid his gun .,tom menyembunyikan pistolnya .
tom hugged mary .,tom memeluk mary .
tom insulted me .,tom menghinaku .
tom is a smoker .,tom seorang perokok .
tom is careless .,tom ceroboh .
tom is home now .,tom sedang di rumah sekarang .
tom is my buddy .,tom adalah temanku .
tom is no angel .,tom bukanlah seorang malaikat .
tom is painting .,tom sedang melukis .
tom is reckless .,tom ceroboh .
tom is reckless .,tom sembrono .
tom is sleeping .,tom sedang tidur .
tom is speaking .,tom sedang berbicara .
tom is thinking .,tom sedang berpikir .
tom is very old .,tom sangat tua .
tom is not happy .,tom tidak senang .
tom just called .,tom baru saja menelepon .
tom kept eating .,tom terus makan .
tom kicked mary .,tom menendang mary .
tom killed mary .,tom membunuh mary .
tom kissed mary .,tom mencium mary .
tom let me down .,tom mengecewakanku .
tom lied to you .,tom berbohong padamu .
tom looks angry .,tom terlihat marah .
tom looks tired .,tom terlihat lelah .
tom looks upset .,tom terlihat sedih .
tom made a kite .,tom membuat sebuah layang-layang .
tom misses mary .,tom merindukan mary .
tom needs a cab .,tom butuh taksi .
tom needs water .,tom butuh air .
tom passed away .,tom meninggal dunia .
tom passed away .,tom meninggal .
tom quit school .,tom berhenti sekolah .
tom seems upset .,tom sepertinya sedih .
tom shot a deer .,tom menembak seekor rusa .
tom still works .,tom masih bekerja .
tom was injured .,tom telah terluka .
tom was singing .,tom sedang bernyanyi tadi .
tom was not home .,tom tidak ada di rumah .
tom wet the bed .,tom mengompol .
tom will go far .,tom akan pergi jauh .
tom wore gloves .,tom memakai sarung tangan .
tom is concerned .,tom khawatir .
tom is dangerous .,tom itu berbahaya .
tom is listening .,tom sedang mendengarkan .
tom is my friend .,tom itu temanku .
tom is very lazy .,tom sangat malas .
turn the tv off .,matikan tv-nya .
turn the fan on .,nyalakan kipas anginnya .
wait a bit more .,tunggu sebentar lagi .
wait one moment .,tunggu sebentar .
walls have ears .,"berkata siang melihat-lihat ,  berkata malam mendengar-dengar ."
walls have ears .,lantai dan dinding bertelinga belaka .
wash everything .,cuci semuanya !
was not it awful ?,bukankah itu mengerikan ?
watch and learn .,lihat dan pelajarilah .
watch and learn .,lihat dan belajar .
we captured tom .,kita menangkap tom .
we did our best .,kami melakukan yang terbaik .
we fell in love .,kami jatuh cinta .
we felt at home .,kami merasa seperti di rumah .
we have to stop .,kita harus berhenti .
we just met tom .,kami baru saja bertemu tom .
we just met tom .,kita baru saja bertemu tom .
we need to stop .,kita harus berhenti .
we never forget .,kami tidak pernah lupa .
we never forget .,kita tidak pernah lupa .
we planted rice .,kami menanam padi .
we are all dying .,kita semua sekarat .
we are ambitious .,kami ambisius .
we are both fine .,kami berdua baik-baik saja .
we are both fine .,kami berdua tidak apa-apa .
we are intrigued .,kami tertarik .
we are too tired .,kami terlalu lelah .
what a nice day !,sungguh hari yang indah !
what is pottery ?,apa itu tembikar ?
what time is it ?,jam berapa sekarang ?
what was inside ?,ada apa di dalamnya ?
what will you eat ?,kamu mau makan apa ?
what is going on ?,ada apa ?
what is happened ?,apa yang terjadi ?
what is with tom ?,ada apa dengan tom ?
what is your job ?,apa pekerjaanmu ?
what is your job ?,pekerjaan anda apa ?
what have you got ?,kalian punya apa ?
what have you got ?,kalian dapat apa ?
when can we eat ?,kapan kita bisa makan ?
where did he go ?,dia pergi ke mana ?
where did it go ?,ke mana perginya ?
where is my car ?,mobilku mana ?
where is my pen ?,di mana pulpenku ?
where were they ?,di mana mereka ?
where were they ?,di manakah mereka ?
where is our car ?,mobil kita dimana ?
where is the map ?,di mana petanya ?
who contributed ?,siapa yang berkontribusi ?
who do you love ?,siapakah yang kamu cinta ?
who elected you ?,siapa yang memilihmu ?
who is that boy ?,siapa anak itu ?
why did you ask ?,mengapa kamu bertanya ?
why did you cry ?,mengapa kamu menangis  ?
why is she here ?,kenapa dia ada di sini ?
you do not count .,kamu tidak menghitung
you let me down .,kamu membuatku kecewa .
you let me down .,kamu mengecewakanku .
you look unsure .,kamu terlihat tidak yakin .
you should come .,sebaiknya kamu datang .
you will get lost .,kamu akan tersesat .
you are innocent .,kamu tidak bersalah .
you are reckless .,kamu ceroboh .
you are reckless .,kau sembrono .
you are too slow .,kamu terlalu lambat .
your time is up .,waktumu sudah habis .
add a little oil .,tambahkan sedikit minyak .
all men must die .,"mumbang jatuh ,  kelapa jatuh ."
anyone can do it .,siapapun bisa melakukannya .
are they friends ?,apa mereka berteman ?
are we all ready ?,apakah kita siap ?
are you ok alone ?,kamu gak apa-apa sendirian ?
are you for real ?,apa kau serius ?
are you like tom ?,apakah kamu seperti tom ?
are you offended ?,apakah kamu tersinggung ?
are you positive ?,apa kamu sudah positif ?
are you sleeping ?,kamu lagi tidur ?
are you with tom ?,apakah kamu bersama tom ?
"at last ,  he came .",akhirnya dia datang .
bats are not mice .,kelelawar itu bukan tikus .
bring me the bag .,bawakan tas itu
can i borrow  ?,bolehkah aku pinjam  dolar ?
can i borrow  ?,apa aku boleh meminjam tiga puluh dolar ?
can anyone drive ?,apakah ada orang yang bisa mengemudi ?
can you see them ?,bisakah kamu melihat mereka ?
can you see them ?,apakah kamu melihat mereka ?
can you ski well ?,apa kamu bisa berski dengan baik ?
cats are animals .,kucing itu hewan .
clean the mirror .,bersihkan cermin .
continue digging .,teruslah menggali .
control yourself !,kendalikan dirimu !
control yourself .,kendalikan dirimu .
crying is normal .,menangis itu normal .
did tom go alone ?,tom pergi sendiri ?
did she say that ?,dia tadi bilang begitu ?
did you have fun ?,apa kau bersenang-senang ?
did you have fun ?,apa kamu senang ?
do i look normal ?,apakah aku terlihat normal ?
do all birds fly ?,apakah semua burung bisa terbang ?
do you cry often ?,apakah kamu sering menangis ?
do you feel sick ?,apa kamu merasa sakit ?
do you like fish ?,apakah kamu suka ikan ?
do you live here ?,apakah kamu tinggal di sini ?
do you live here ?,apakah anda tinggal di sini ?
"do not eat it ,  ok ?","jangan dimakan ,  ya ?"
do not forget tom .,jangan lupakan tom .
do not mention it .,tidak apa-apa .
do not smoke here .,jangan merokok di sini .
do not you get it ?,apa kamu tidak mengerti ?
enough is enough .,cukup cukup .
everyone went in .,semua orang masuk .
finish your work .,selesaikan pekerjaanmu !
give me a reason .,beri aku alasan .
give me my money .,berikan saya uang saya .
give them to her .,berikan padanya .
go to the barber .,pergilah ke tukang potong rambut !
he can swim fast .,dia dapat berenang dengan cepat .
he cannot read it .,dia tidak bisa membacanya .
he does not sleep .,dia tidak tidur .
he gave a speech .,dia berpidato .
he had few teeth .,dia punya sedikit gigi .
he has a bicycle .,dia memiliki sebuah sepeda .
he has long hair .,dia berambut panjang .
he hates carrots .,dia benci wortel .
he hates spiders .,dia benci laba-laba .
he is aggressive .,dia agresif .
he is in trouble .,dia dalam masalah .
he is my brother .,dia adalah adikku .
he is my brother .,dia adalah kakakku .
he is my brother .,dia kakakku .
he is my brother .,dia adikku .
he is still here .,dia masih di sini .
he laughed at me .,dia menertawakan saya .
he left just now .,dia baru saja pergi .
he likes fishing .,dia suka memancing .
he loves fishing .,dia sangat suka memancing .
he ran into debt .,dia mengambil pinjaman uang .
he was acquitted .,dia dinyatakan tidak bersalah .
he wears pajamas .,dia memakai piama .
he went shopping .,dia pergi berbelanja .
he is always busy .,dia selalu sibuk .
he is intelligent .,dia pintar .
he is still young .,dia masih muda .
here is your bag .,ini dia tasmu .
hold on a second .,tunggu sebentar .
horses eat grass .,kuda makan rumput .
how about a bite ?,mau coba satu gigitan ?
how could i know ?,bagaimana aku bisa mengetahuinya ?
how does it look ?,bagaimana kelihatannya ?
how tall are you ?,seberapa tinggi kamu ?
how will it work ?,bagaimana cara kerjanya ?
how would i know ?,bagaimana aku bisa mengetahuinya ?
how are you doing ?,apa kabar ?
i agree with you .,aku setuju denganmu .
i also like cake .,aku juga suka kue .
i am from brazil .,saya dari brazil
i am from norway .,saya dari norwegia .
i am not kidding .,aku tidak bercanda .
i am not kidding .,aku tidak sedang bercanda .
i am not thirsty .,aku tidak haus .
i am not working .,saya tidak bekerja .
i am only joking .,saya hanya bergurau .
i am only joking .,aku cuma bercanda .
i appreciate you .,saya menghargai anda .
i appreciate you .,aku menghargaimu .
i believe in you .,aku percaya padamu .
i came yesterday .,aku datang kemarin .
i cannot eat pork .,saya tidak boleh makan daging babi .
i cannot go alone .,aku tidak bisa pergi sendiri .
i cannot go there .,saya tidak bisa pergi ke sana .
i cannot go there .,aku tidak bisa pergi ke sana .
i cannot hear you .,saya tidak dapat mendegarmu .
i cannot say that .,aku tidak bisa mengatakan itu .
i cannot stand it .,saya tidak tahan .
i cannot tell yet .,aku belum bisa memberi tahu .
i caught the flu .,aku terkena flu .
i do not eat meat .,saya tidak makan daging .
i do not know her .,aku tidak mengenalnya .
i do not know him .,aku tidak mengenalnya .
i do not love you .,aku tidak mencintaimu .
i do not remember .,aku tidak ingat .
i do not think so .,aku rasa tidak .
i feel powerless .,aku merasa tidak berdaya .
i found somebody .,aku menemukan seseorang .
i found the keys .,kuncinya ketemu .
i gave tom a hug .,aku memeluk tom .
i had a bad cold .,aku kena flu berat .
i hate fireworks .,aku benci kembang api .
i have a problem .,aku punya masalah .
i have toothache .,saya sakit gigi .
i heard a scream .,aku mendengar sebuah jeritan .
i hope i survive .,aku harap aku akan bertahan hidup .
i know i am wrong .,aku tahu aku salah .
i know i am wrong .,aku tahu bahwa aku salah .
i know only this .,aku hanya tahu ini .
i know your name .,aku tahu namamu .
i like saturdays .,aku suka hari sabtu .
i like astronomy .,aku suka astronomi .
i like chocolate .,saya suka coklat .
i like red roses .,aku suka mawar merah .
i like your hair .,aku suka rambutmu .
i love astronomy .,aku suka astronomi .
i love chocolate .,saya suka coklat .
i love egg yolks .,aku suka kuning telur .
i love this song .,aku sangat suka lagu ini .
i love this town .,aku cinta kota ini .
i love your hair .,aku sangat suka rambutmu .
i made it myself .,aku membuatnya sendiri .
i may be too old .,saya mungkin sudah terlalu tua .
i must leave now .,saya harus pergi sekarang .
i need some soap .,aku perlu sabun .
i never sunbathe .,aku tidak pernah berjemur .
i play in a band .,aku tergabung dalam sebuah kelompok musik .
i read the label .,aku membaca labelnya .
i saw tom is face .,aku melihat wajah tom .
i swim every day .,saya berenang setiap hari .
i talk to myself .,saya berbicara pada diri sendiri .
i want a pretzel .,aku mau pretzel .
i want to see it .,aku ingin melihatnya .
i want you to go .,aku ingin kamu pergi .
i was frightened .,aku ketakutan .
i was just lucky .,aku hanya beruntung .
i will be with tom .,aku dengan tom .
i will go upstairs .,aku akan naik ke lantai atas .
i will go with you .,aku akan pergi denganmu .
i will take my car .,aku akan mengambil mobilku .
i am  years old .,saya berusia  tahun .
i am  years old .,umur saya  tahun .
i am tom is doctor .,saya dokternya tom .
i am tom is driver .,saya supir tom .
i am tom is friend .,aku teman tom .
i am tom is friend .,saya teman tom .
i am a bookkeeper .,aku seorang penata buku .
i am an alcoholic .,saya kecanduan alkohol .
i am disappointed .,aku kecewa .
i am done working .,aku sudah selesai bekerja .
i am just kidding .,saya hanya bergurau .
i am just kidding .,aku cuma bercanda .
i am not a beggar .,aku bukan pengemis .
i am not a doctor .,saya bukan dokter .
i am not a doctor .,aku bukan dokter .
i am not an idiot .,saya bukan idiot .
i am not bluffing .,aku tidak sedang menggertakmu .
i am not sure yet .,saya belum yakin .
i am proud of you .,aku bangga padamu .
i am really tired .,aku sangat capek .
i am sick of this .,aku muak dengan hal ini .
i am still sleepy .,aku masih ngantuk .
i am super hungry .,aku sangat lapar .
i have got a fever .,saya demam .
is tom awake yet ?,apakah tom sudah bangun ?
"is tom here ,  too ?",apakah tom di sini juga ?
is everything ok ?,apa semuanya baik-baik saja ?
is that a castle ?,apakah itu istana ?
"is that you ,  tom ?","itu kamu ,  tom ?"
is that your car ?,apakah itu mobilmu ?
is this accurate ?,apakah ini tepat ?
is this suitable ?,apakah ini cocok ?
it will not come up .,itu tidak akan muncul .
it is a cockroach .,itu kecoak .
it is a nice town .,ini kota yang bagus .
it is a sunflower .,itu bunga matahari .
it is not a trick .,ini bukan tipuan .
it is on the sofa .,itu ada di atas sofa .
it is our destiny .,ini adalah takdir kami .
it is time to eat .,saatnya makan .
it is unavoidable .,itu tidak bisa dihindari .
it is very boring .,ini sangat membosankan .
it is very pretty .,itu indah sekali .
just do not laugh .,pokoknya jangan tertawa .
let is cross here .,mari menyeberang di sini .
let is go back in .,ayo masuk kembali ke dalam .
let is go surfing .,ayo pergi berselancar !
let is have a try .,mari kita coba .
let is just do it .,sudah ayo kita lakukan saja .
let is live it up !,mari bersenang-senang !
let is run for it .,ayo lari .
life is struggle .,hidup adalah perjuangan .
listen carefully .,dengarkan baik-baik .
look at that cat .,lihat kucing itu !
mary is graceful .,mary adalah seorang yang anggun .
mary is my niece .,mary adalah keponakanku .
music is my life .,musik adalah hidupku .
my dog likes you .,anjingku menyukaimu .
my pulse is fast .,denyut nadiku cepat .
my rifle is empty .,senapanku kosong .
my stomach hurts .,perutku sakit .
nice to meet you .,senang bertemu denganmu .
no one asked you .,tidak ada yang bertanya padamu .
no one helped me .,tak seorang pun membantu saya .
no one responded .,tidak ada yang menjawab .
no one wanted it .,tidak ada yang mau .
no one is perfect .,tidak ada orang yang sempurna .
nobody asked you .,tidak ada yang bertanya padamu .
nobody must know .,tidak ada yang harus tahu .
nobody is perfect .,tidak ada orang yang sempurna .
nothing happened .,tak ada yang terjadi .
please be seated .,silakan duduk .
please do not cry .,janganlah menangis .
please do not die .,tolong jangan mati !
please do not die .,tolong jangan mati .
please follow me .,silahkan ikuti saya .
please stop that .,tolong hentikan itu .
press the button .,tekan tombolnya .
press the button .,tekan tombol itu .
put on your coat .,pakai jasmu .
put on your mask .,pakai maskermu .
put your mask on .,pakai maskermu .
rabbits can swim .,kelinci bisa berenang .
raise your hands .,angkat tanganmu .
see you tomorrow .,sampai jumpa besok .
see you tomorrow .,sampai ketemu besok .
shall we go home ?,mau pulang ?
she began crying .,dia mulai menangis .
she has dry hair .,dia memiliki rambut yang kering .
she is a student .,dia seorang siswa .
she is beautiful .,dia cantik .
she is mad at me .,dia marah padaku .
she is mad at me .,dia marah kepada ku
she is not young .,dia tidak muda .
she is helping me .,dia menolongku .
she is not a liar .,dia bukan seorang pembohong .
"sit down ,  please .",silakan duduk .
"sit down ,  please .",tolong duduklah .
stop daydreaming .,berhentilah melamun .
thank you kindly .,terima kasih banyak .
thanks a million .,terima kasih banyak .
thanks a million .,makasih banyak .
thanks very much .,terima kasih banyak .
thanks very much .,makasih banyak .
that dog is tom is .,anjing itu milik tom .
that is not a toy .,itu bukan mainan .
that is tom is car .,itu mobil tom .
that is important .,itu penting .
that is no secret .,itu bukan rahasia .
that is not a toy .,itu bukan mainan .
that is our house .,itu rumah kami .
that is wonderful .,itu luar biasa .
the answer is  .,jawabannya adalah  .
"the bill ,  please .",tolong bonnya .
the book is white .,buku itu putih .
the box is empty .,kotak itu kosong .
the box is heavy .,kotak itu berat .
the door is open .,pintunya terbuka .
the grass is wet .,rumputnya basah .
the jar is empty .,stoplesnya kosong .
the light is off .,lampunya mati .
the light is out .,lampunya mati .
the pain is gone .,rasa sakitnya sudah hilang .
the show is over .,pertunjukan sudah selesai .
the tank is full .,tangkinya penuh .
the water is cold .,airnya dingin .
the water is warm .,airnya hangat .
there is no doubt .,tidak diragukan .
there is no proof .,tidak ada bukti .
they both agreed .,mereka berdua setuju .
they disappeared .,mereka menghilang .
they like apples .,mereka suka apel .
they love coffee .,mereka suka kopi .
they thanked god .,mereka bersyukur kepada tuhan .
they won the day .,mereka menang .
this is room  .,ini kamar nomor  .
this is a banana .,ini pisang .
this is an order .,ini adalah sebuah perintah .
this is big news .,ini berita besar .
this is credible .,ini dapat dipercaya .
this is my niece .,ini keponakan saya .
this is my niece .,ini keponakanku .
this is my uncle .,ini paman saya .
this is my uncle .,ini pamanku .
this is nonsense .,ini omong kosong .
this is official .,ini resmi .
this is puzzling .,ini membingungkan .
this is red wine .,ini adalah anggur merah .
this is not yours .,ini bukan milikmu .
this one is empty .,yang ini kosong .
time is valuable .,waktu itu berharga .
tom admired mary .,tom mengagumi mary .
tom admires mary .,tom mengagumi mary .
tom became blind .,tom menjadi buta .
tom bought bread .,tom membeli roti .
tom called twice .,tom menelepon dua kali .
tom detests mary .,tom membenci mary .
tom greeted mary .,tom menyapa mary .
tom has a butler .,tom punya kepala pelayan .
tom has no books .,tom tidak punya buku .
tom has no money .,tom tidak punya uang .
tom has red hair .,tom berambut merah .
tom helped a lot .,tom membantu banyak .
tom hurt his leg .,kaki tom terluka .
tom ignored mary .,tom mengabaikan mary .
tom ignored mary .,tom tidak menghiraukan mary .
tom is a student .,tom adalah seorang siswa .
tom is a swimmer .,tom adalah seorang perenang .
tom is courteous .,tom itu ramah .
tom is easygoing .,tom itu santai .
tom is forgetful .,tom itu pelupa .
tom is listening .,tom sedang mendengarkan .
tom is my friend .,tom adalah temanku .
tom is not happy .,tom tidak senang .
tom is squatting .,tom sedang jongkok .
tom is not famous .,tom tidak terkenal .
tom kept talking .,tom terus berbicara .
tom kept walking .,tom terus berjalan .
tom likes comedy .,tom suka komedi .
tom lost his hat .,tom kehilangan topinya .
tom lost his job .,tom kehilangan pekerjaannya .
tom quit smoking .,tom berhenti merokok .
tom rescued mary .,tom menyelamatkan mary .
tom slapped mary .,tom menampar mary .
tom sounds upset .,tom sepertinya sedih .
tom still smokes .,tom masih merokok .
tom studies hard .,tom belajar dengan tekun .
tom thanked mary .,tom berterima kasih kepada mary .
tom touched mary .,tom menyentuh mary .
tom walks slowly .,tom berjalan dengan pelan .
tom was arrested .,tom ditangkap .
tom was divorced .,tom diceraikan .
tom was poisoned .,tom keracunan .
tom was reckless .,tom ceroboh .
tom was worn out .,tom kelelahan .
tom went surfing .,tom pergi berselancar .
tom will do that .,tom akan melakukannya .
tom will improve .,tom akan berkembang .
tom will kill me .,tom akan membunuhku .
tom will not suffer .,tom tidak akan menderita .
tom is illiterate .,tom buta huruf .
tom is quite good .,tom lumayan bagus .
turn to the left .,belok ke kiri .
walk ahead of me .,berjalanlah di depanku .
we agree as well .,kami juga setuju .
we do not want it .,kami tidak mau itu .
we have no money .,kami tidak punya uang .
we often see tom .,kami sering melihat tom .
we often see tom .,kita sering melihat tom .
we run every day .,kami berlari setiap hari .
we won this time .,kali ini kita menang .
we will be rescued .,kita akan diselamatkan .
we are nonsmokers .,kami bukan perokok .
we are still here .,kita masih di sini .
what causes that ?,apa yang menyebabkan itu ?
what causes this ?,apa yang menyebabkan ini ?
what could i say ?,apa yang dapat saya katakan ?
what did you buy ?,apa yang kamu beli ?
what did you buy ?,beli apa ?
what did you eat ?,apa yang kau makan ?
what do you have ?,kalian punya apa ?
what do you have ?,anda punya apa ?
what do you mean ?,apa maksudmu ?
what do you mean ?,apa yang kamu maksud ?
what do you mean ?,apa yang anda maksudkan ?
what do you need ?,kamu butuh apa ?
what do you want ?,apa maumu ?
what do you want ?,apa yang kamu inginkan ?
what do you want ?,apa yang anda inginkan ?
what does it say ?,apa yang dikatakannya ?
what have i done ?,apa yang sudah kulakukan ?
what is going on ?,ada apa ?
what woke you up ?,apa yang membuatmu terbangun ?
what will you have ?,kamu mau yang mana ?
what is that mean ?,apa maksudnya ?
what is the cause ?,penyebabnya ?
what is the cause ?,apa penyebabnya ?
what is the price ?,berapa harganya ?
what is your name ?,siapa namamu ?
what is your name ?,nama kamu siapa ?
where did you go ?,ke mana kamu pergi ?
where is customs ?,di mana bea dan cukai ?
where is customs ?,di mana bea cukai ?
where will we go ?,ke mana kita akan pergi ?
where is the exit ?,di mana pintu keluarnya ?
which is correct ?,yang manakah yang benar ?
which one was it ?,yang mana itu tadi ?
who is that lady ?,siapa wanita itu ?
whose plan is it ?,rencana siapakah ini ?
why did you stop ?,kenapa kau berhenti ?
why should i lie ?,mengapa aku harus berbohong ?
why should i pay ?,mengapa saya harus membayar ?
will you risk it ?,apa kamu mau mengambil risiko ?
you are the best .,kamulah yang terbaik .
you are the best .,kalianlah yang terbaik .
you did it again .,kalian melakukannya lagi .
you did it again .,kamu telah melakukannya lagi .
you do not listen .,kamu tidak mendengar .
you do not own me .,kamu tidak memilikiku .
you look worried .,kamu terlihat khawatir .
you look younger .,kamu terlihat lebih muda .
you may be right .,mungkin kamu benar .
you may go there .,kamu boleh pergi ke sana .
you need therapy .,kamu butuh terapi .
you should sleep .,kamu harus tidur .
you are so skinny .,kamu kurus sekali .
you are too young .,kamu itu masih bau kencur .
your face is red .,mukamu merah .
your shoes stink .,sepatu kamu bau .
add a little salt .,tambahkan sedikit garam .
are you all ready ?,apa kalian semua sudah siap ?
are you all right ?,kamu tidak apa-apa ?
are you religious ?,apakah kamu religius ?
beef is expensive .,daging sapi itu mahal .
call an ambulance .,panggil ambulan
can i have a bite ?,boleh aku mencoba satu gigitan ?
can i talk to tom ?,boleh aku bicara sama tom ?
can we talk later ?,bisakah kita berbicara nanti ?
come sing with me .,ikutlah menyanyi denganku .
come sing with me .,mari menyanyi bersamaku .
did they fire you ?,apakah mereka memecatmu ?
did you say three ?,apakah kalian bilang tiga ?
did not i warn you ?,bukankah saya sudah memperingatkanmu ?
do you believe me ?,kamu percaya padaku ?
do you have a car ?,apakah anda punya mobil ?
do you have a car ?,apakah kamu punya mobil ?
do you have a pen ?,apa kau punya pulpen ?
do you like juice ?,apakah kamu suka jus ?
do you like music ?,apa kamu suka musik ?
does tom like you ?,apakah tom menyukaimu ?
does she know you ?,apa dia mengenalmu ?
do not be too sure .,jangan terlalu yakin .
do not forget that .,jangan lupakan itu .
do not let me down .,jangan buat aku kecewa .
do not let me down .,jangan mengecewakanku .
do not pull my leg !,jangan mempermainkanku !
do not you feel it ?,apa kamu merasakannya ?
do not you hear it ?,apa kamu mendengarnya ?
do not you see tom ?,apakah kamu melihat tom ?
everybody laughed .,semuanya tertawa .
everybody went in .,semua orang masuk .
everyone is drunk .,semua orang mabuk .
finish it for tom .,selesaikan untuk tom .
fish is expensive .,ikan itu mahal .
gas prices are up .,harga bensin naik .
get on your knees .,berlutut .
get up out of bed .,bangunlah dari tempat tidur .
"goodnight ,  ladies .",selamat malam nona-nona .
hand me that mike .,"sini ,  miknya ."
hand me that mike .,berikan miknya padaku .
he can be trusted .,dia bisa dipercaya .
he does not smoke .,dia tidak merokok .
he has no bicycle .,dia tidak punya sepeda .
he has seven sons .,dia memiliki tujuh anak laki-laki .
he is a quiet man .,dia orangnya pendiam .
he is intelligent .,dia pintar .
he is still alive .,dia masih hidup .
he is still angry .,dia masih marah .
he is still young .,dia masih muda .
he is unrealistic .,dia tidak realistik .
he is not here yet .,dia masih belum di sini .
he kept on crying .,dia terus menangis .
he killed himself .,dia bunuh diri .
he killed himself .,dia membunuh dirinya sendiri .
he lay on the bed .,dia berbaring di tempat tidur .
he lives in osaka .,dia tinggal di osaka .
he lives in tokyo .,dia tinggal di tokyo .
he sat next to me .,dia duduk di sampingku .
he started to cry .,dia mulai menangis .
he will come soon .,ia akan segera datang .
he wore old shoes .,dia mengenakan sepatu tua .
he wore red pants .,dia memakai celana merah .
he is not here yet .,dia masih belum di sini .
her eyes are blue .,matanya biru .
